 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   6,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20582E-27  0.00000E+00  1.0E+00
   1.52383E+08  1.31537E-24  1.43389E-27  4.20583E-27  0.00000E+00  1.0E+00
